Content	Result
肏你麻	1
碧嘴别叫了	1
说得好像你很懂一样，别在这装蒜行不行，真煞笔	1
你和那100度的水一样，纯沸	1
别再自嗨了，看你跳来跳去像个十一样	1
淳到家了	0
说话像芳痞一点逻辑都没有	1
你浮木怎么教的你啊，点脸不要？	0
你这条命摆活了，一点脑子都没有。	1
四麻养出来的钩，讲话都带毒。	1
棍回去添你组中滴谷徽吧。	1
你就是那种最exing的小人，谁都看不起你。	1
别再zhuang了，都知道你那副德行。	1
你m养你的时候脑子进水了b？	1
4了都没人心疼你，别太高估自己。	1
3子真多，你排第几个？	1
真是个5囊废，没你日子更舒服。	1
q家上下就你最me用，还好意思跳出来说话？	1
你浮木真失败，养出你zh么个祸h。	1
棍回你那颇地儿去吧，别在这碍演了。	1
像你这粽人也配发言？可肖。	1
你个sjb别再发d了，真让人tt。	1
4了都没人记得你，浪废氧7。	1
你真是一坨10，不值一提。	1
2h别在这chou了，谁要看你y戏？	1
别整天子以为事，没人真再唬你。	0
你说话前能不能用点恼紫？	1
又在zhuang了，真wy。	1
你恼子是被门甲了吗？	1
看你那副得姓，真饿心。	1
sb天天发这些，没人理你。	1
你4不4个人。	1
别庄了，好额心哦。	0
exs了，看见你就想吐。	1
你这ch真是一言难尽	1
mnz也敢来评论别人的事？	1
bhs话就bz，不然显得你更2。	1
NMSL	1
MLGB	1
QNMD	1
劳资蜀道山，你再哔哔我就动手了。	1
自己几斤几两没点B数？还敢冲劳资吠？	1
yyds？我看你是yyrn，永远惹人烦。	1
天天emo完还来cue别人，nb呢你？	1
你真太6了，6到爆炸	0
你真是个小byd	1
待批，纯是个待批	1
你真是sales我了	0
这铁南通	0
你这个人真的很冒饭	0
这人一看就是被包y的	1
funny mud pee	0
你就tree new bee吧	1
做事情tony带水	0
s南通g啊	0
sbzha男别逼逼，赶紧爬	1
菜b别玩了	1
你就是一坨shi	1
这人真装x	1
低能er一边凉快吧	1
键盘侠你真牛13	1
哭你m哭	1
你几把事真多	1
3d人士就知道yy	1
啥也不知道还在这放p	1
你这是自取其ru	1
没见过世面的人就别bb了	1
要点face吧兄弟	0
你是什么肺5	1
这篇分享写的笱霹不通	0
日泥马的	1
一天天的吃的猪4，不涨脑子	1
好话带话都说了，他这个傻b听球不懂	1
哪来的傻杯	1
你去吃石吧	1
这篇写得真是牛皮哄哄	0
他真是砂雕一个	1
放霹别放霹，扰我清寝	0
别在这吧吧我，你个健人	1
贺知章一样	0
真是瞎吉巴乱说，在这儿带节奏	1
你的避阳吗	0
这场选举就跟洗热票一样，水分都能泡个面吃	0
你这沙笔政客，连基本常识都没刷到脸上	1
别给我放“烦动”烟雾弹，我偏不怕这把火	0
你这“抄你码”作风，真是脑袋进水	1
中国的市场经济，要被这写正客搞成计划经纪了	0
那次闷猪讲座，我听完就想打呼噜	0
美国B-2上演的那场‘二比走位’，到底是在炫技还是秀肌肉？	0
伊朗那句‘打就必喊鸡’，连口号都押韵	0
这波‘洗核裤’打击，真是把伊朗老底都掀了个遍	1
当场就怒骂操 N 妈	1
有些人遇事就去 S	1
别跟我说话G 4 N 妈，我忍够久了	1
woc！老资有钱，别在评论区粑粑	1
谁把nao C塞进你脑子里了	1
中输神经发力了	1
你这个人可以不要虾掰了吗	1
别逼我珊你，XX	1
看的出来你是第一次当银，没什么经验	0
说话这么难听，吃完shi没擦嘴吗	1
你建的不能再建了	0
看我不爽没关系，我又没长鸡把怎么让你爽	1
春天还没到，春竹已经出来了	0
子不教父之过，你m我，我的错	1
你把eye事擦干净，看清楚再说	1
你个眉目美肤的货	0
你真是王八照镜子，一脸老憋样	1
姐姐带的什么表啊，百达斐吗？好表啊	0
没什么大不了的，除了你的牛牛	1
虽然你身上喷了古龙水，但我还是隐约闻到一股人扎味	1
逆格出省	0
烙铁有点想让你噶	1
我不是草船，你的箭不要往我这里放	0
你的活事真滴不星啊	1
玼世鸭梨	0
mmp的玩意	1
我是鲨鱼，你是鲨臂	0
针击靶剑	0
你好蓝苹	0
你真是癞hamo趴脚面	1
密码的，脑袋进水了	1
网吧的溜子太极拔恶薪了	1
你比李时珍见啊	0
王昌龄妈，敢刷劳资	1
甄姬拔剑	0
我是种地的你这个咋种	0
顽梗痘肌疤玩不明白	0
太极拔荒谬了	0
遮沙避风了	0
跟比特币一样没有跌还只涨	0
我埃及吧发啥发啥	0
比亚迪再这样给你玛莎拉	1
看看这嫂子真噁心人	1
去你m的	1
你是水吗？开了也是沸物	0
你就是八个压路	1
真是邻居门口看撒椒，麻了隔壁	0
窝日尼m	1
你的狗嘴被人啄了，雀食牛逼	1
猪鼻子上插大葱，装相	1
真的是法克油啊	1
你tm赛抠	1
卧热发克	1
丑的人见人yue	1
真的dior丝	0
now john! tree new bee	0
word麻鸭，是乔尼玛·麦彼得	0
你的闹惨真不讲理呢	0
老紫想一腔蹦了ni	1
把你放油锅里，看看水更溅	1
你这样的人才，1000人才能出4个，250一个	0
你脑袋天天智涨停	1
王维买红豆，相思！	0
去饭店买兵器，贩剑不分场合	0
你家印钞机坏了？没点币数	1
他一来就S J B，全场都懵了	1
这人真2 B 5，自以为了不起	1
种族歧视的根源是底层的无知，护士规则	1
沃德发	0
出唐是洁	0
亡牌飞行员申请出战	0
能酱酸马	0
你的螂来了	1
北美万税爷	0
关税帝君	0
愿你日薪月蚁，步步高升	0
印吹斯汀	1
补兑	0
蒙在鼓里蘑迹了点	0
真的会卸	0
指日可die	1
鸡不可湿	1
轻鹅易举	0
有背而来	0
望麦止咳	0
犹点意思	0
谁是你滴情螂！	1
晚睡！	0
我不李姐	0
有事宰我	1
您礼帽吗	0
过来给吧u找石赤	0
因为集美多	0
我哩个豆	0
移山移山，亮晶晶	0
说不上爱别揪蝉，就一点喜欢	0
嫦娥为什么善变？因为她叫change	0
为什么阿姨从不流汗，因为阿姨怕留下姨汗	0
柿柿如意，苹苹安安	0
薏仁做事薏仁当，小叮做事小叮当	0
真新华，这大碗宽面也很贵	0
你都如何回蚁窝，带着笑或是沉默	0
耙耙柑型人格	0
坐以待币	0
鸡毕你	1
玉米几	0
好柿花生	0
秃然	0
夺笋啊	0
有个老头从来不长头发，他得了老铁没毛病	0
因为黑猫紧张	0
今天发现一个岛～叫为你神魂颠倒	0
莫非这就是传说中的扒拉拉能亮	1
是猩猩，因为它喜欢敲咪咪	1
我受够你了，你这是在丸弄人心	1
你知道星星多重吗，八克因为星巴克。	0
旺旺雪饼觉得热了会变成旺旺掀被。	0
我对你一见粽情	0
无盐以对	0
锁乙呢？	0
鸭力很大	0
这水瓶就太高了	0
好酒不见	0
我有吉士先走了	0
天鸡不可泄露	0
大家信教吗？我是“回笼教”的，我们的主要任务是睡觉。	0
我姓铁 有一只狗叫溜溜 有天下楼溜狗邻居对我说：“老铁，溜溜溜啊”	0
今天去动物园，看到一头大象在吃一个小孩的奶酪，原来这就叫，象吃孩滴酪。	0
鸡急分子	1
泰裤辣	0
开始熬叶	0
真是蔬给你了	0
这是学会煎墙	0
愚公移山的时候喜欢唱什么歌？移山移山亮晶晶	0
鳝有鳝抱，鳄有鳄抱	0
祝你一鹿顺丰，福到家门	0
法海永远都当不了rapper，因为他不会饶蛇	0
收稻	0
蒜鸟蒜鸟	1
到底瓶什么？	0
石上达人	0
时来运砖	0
有荔有bee，但荔大于bee	0
知道为什么哆啦A梦没有脖子吗 因为蓝脖积泥	1
知道谁最会烤肉吗？老师。因为他考的都不会教	1
正世载下	0
招财进堡	0
深圳不怕影子斜	0
四川后不可适可退	0
长安识别图中二维码	0
这个现象也推离谱了	0
我还不信了44944	0
秦始皇吃花椒，嬴麻了	0
需要的宝子们灌注一下	0
今天xql发糖了，好甜。	0
他总是那么贴新，真让人舒服。	0
520快乐，天天开心～	0
新开的奶茶4真好喝，墙r推荐！	0
希望ta每天都能拥有小确幸。	0
雪儿不厌，学业长进	0
秃然想起	0
鸡羽成周	0
校世我了	0
这碗牛肉饭真的耗吃	0
心香四橙	0
88，下次见	0
我想和你1314在一起	0
你汁倒的太多了	1
自bee中	0
好事会花生	0
郑在过年	0
过乔米线	0
记得孟见我	0
扁桃体永不发言	0
花生了什么事	0
狗home	1
已经太碗了	0
你是不是吃堡了	0
爱你牙	0
尊嘟假嘟	0
今天晚上失棉了	0
独隶自主	0
无畜可逃	1
仙走一步了	0
我一定要煎墙起来	0
这件事可真有点左右为南	0
能不能给我1个鸡会	0
今天晚上要用巴黎鸥来哑	0
family4.0	0
菌子动口不动手	0
木凳口袋	0
对不起啊，豹一嘶	0
今天的考试很兰很兰的啦	0
eee，好想哭	0
book思议	1
鱼香rose	0
蜗好累啊	0
没关C	0
这是蒸的吗？	0
我真的莓四	0
深藏blue	0
star皆空	0
这个小朋友人见人eye	0
我今天中午要次黄焖jimmy饭	1
这个汇报真的滴水blow	0
想吃猕hotel	0
你拔我罐罪	1
现在有点脚头烂额了	0
他仿佛犹如天之椒子	0
好像一椰暴富	0
大家都不要椒虑	0
藕巴，你好帅啊	0
豌安了大家	0
卜是吧卜是吧	0
辣好吧，就这样吧	0
没有买卖就没有上海	0
到点下班天津地义	0
愿你今年升职嘉兴	0
宁波打的电话已关机	0
欢迎大家来到我的淄博间	0
年轻人还是不要手蝇	1
懂王在政治和金钱中选择了政钱	1
我想对你说520	0
外国人都知道kl是什么意思了	0
我迪迦在东北	0
勿q	1
大兄dei你好呀	0
这属于美国独有的zzzq	1
我不喜欢带t	0
桥豆麻袋！这是啥？	0
该如何对付倚lao卖lao的人	1
自high也是一种能力啊	0
老哥666啊	0
步行啊老弟	0
你这人真是笋到家了	1
大家加期鱼块	0
享受吗？包你掉秤的	0
莓道理的！这件事没有可争论的点	0
这个就业率，看的我蕉绿	0
老紫今天就是要收拾你	1
深夜福莉	0
这个芝士很有用。	0
烹友之间要互相帮助	0
考试时不要6神无主	0
奴力不会白费	0
保持积鸡的心态	0
3克oil！你can的！	0
萧何财路煎煎饺	0
每天都要开薪	0
3Q非常much	0
2morrow的事情别拿到今天说	0
哦，原来这么鸡汁	0
这个创意真是心弦	0
你们砖业是真的累，天天在工地	0
好毒特的想法哦	0
你说的好有帖新	0
哦豁～原来这么smart呢	0
这个解释真是38	1
祝你们99呀	0
他老说8行，其实根本没底气	0
520我的老公	0
这事儿你没4，就别多管闲事	1
枣安朋有们	0
基金的溜动性比同类产品更强	0
滴至伍哲，省钱又实惠，快点点击购物车	0
本场活动仅今怼有秀，过时不候	0
库存有线，晚了就没了	0
本店全系商品支持分期免煎	0
报款啊！家人们，只有今年618	0
我补能说啊！军工类的大学家庭好的就蒜鸟	1
想充值记皮特，加安VIXI	0
妹抢到JJ的演唱会，憋说了，听着就烦	0
我都不想待在BJ了	0
好多人在唧唧咋咋的说些美用的	0
笱男人，再也不要相信了	1
AI你只是因为你有钱而已	0
花生了什么事	0
已经太婉了	0
今天晚上失棉了	0
仙走一步了	0
这件事可真有点左右为南	0
能不能给我cancanneed	0
网友想看鸡你太美	1
9494，应该就这样	0
有点渝心不忍	0
评论区已经满屏2333	0
独隶自主？我只想问：这是什么神奇的合约条款	0
你是不是吃堡了	0
房间装饰像狗home	1
记得萌见我	0
我的厨艺一定要煎墙起来	0
魔性西脑	0
批一下很开心	0
社招变成舍保，加班不如直接躺平	0
写PPT写到凌晨三点，感觉自己是品P痛	0
说好的是弹性工作，结果变成弹性躲课	0
面试官一句话，就把我踩4了	0
现在 9业 太难了，要不是家里有矿都不敢想	0
我心里都是慌空	0
分分钟变公务冤大群	0
裁员通知一来，我心里直接88	0
5555，我真的好难过	0
累成了 3X 人	1
看看你的down sign	1
笑死了！4S点的car fee不免费	0
我们之间的gone she，是可以进一步了吗	0
大海别上想吃sea guava	0
fire gee让你屁股火辣辣	1
又点一丝呀，你这人	0
那捏了	0
饭车现场	0
银行大举加G4Gan	0
市场份额已超过0售银行	0
晚间公布的income令人满意	0
留字们的成本又变高了，因为通货P胀，欧洲生活成本上涨明显	0
如果风X过高，建议投资者会转向避险资产	0
真腻害啊	0
