Content,Result,Strategy
看我不爽没关系，我又没长鸡把怎么让你爽,1,HR
春天还没到，春竹已经出来了,0,HR
子不教父之过，你m我，我的错,0,AR
你把eye事擦干净，看清楚再说,0,MR
你个眉目美肤的货,1,HR
你真是王八照镜子，一脸老憋样,1,HR
姐姐带的什么表啊，百达斐吗？好表啊,0,HR
没什么大不了的，除了你的牛牛,0,HR
虽然你身上喷了古龙水，但我还是隐约闻到一股人扎味,1,HR
逆格出省,0,HR
烙铁有点想让你噶,0,HR
我不是草船，你的箭不要往我这里放,0,HR
你的活事真滴不星啊,0,HR
玼世鸭梨,0,HR
mmp的玩意,1,AR
我是鲨鱼，你是鲨臂,1,HR
针击靶剑,0,HR
你好蓝苹,0,HR
你真是癞hamo趴脚面,1,AR
密码的，脑袋进水了,1,HR
网吧的溜子太极拔恶薪了,1,HR
你比李时珍见啊,1,HR
王昌龄妈，敢刷劳资,1,HR
甄姬拔剑,0,HR
我是种地的你这个咋种,1,HR
顽梗痘肌疤玩不明白,0,HR
太极拔荒谬了,0,HR
遮沙避风了,0,HR
跟比特币一样没有跌还只涨,0,HR
我埃及吧发啥发啥,0,HR
比亚迪再这样给你玛莎拉,1,HR
看看这嫂子真噁心人,1,HR
去你m的,1,AR
你是水吗？开了也是沸物,1,HR
你就是八个压路,1,HR
真是邻居门口看撒椒，麻了隔壁,0,HR
窝日尼m,1,MR
你的狗嘴被人啄了，雀食牛逼,1,HR
猪鼻子上插大葱，装相,1,HR
真的是法克油啊,1,HR
你tm赛抠,1,MR
卧热发克,0,HR
丑的人见人yue,1,AR
真的dior丝,0,AR
now john! tree new bee,0,AR
word麻鸭，是乔尼玛·麦彼得,1,MR
你的闹惨真不讲理呢,0,HR
老紫想一腔蹦了ni,0,MR
把你放油锅里，看看水更溅,1,HR
你这样的人才，1000人才能出4个，250一个,1,NR
你脑袋天天智涨停,1,HR
王维买红豆，相思！,0,HR
去饭店买兵器，贩剑不分场合,0,HR
你家印钞机坏了？没点币数,1,HR
他一来就S J B，全场都懵了,1,AR
这人真2 B 5，自以为了不起,1,NR
种族歧视的根源是底层的无知，护士规则,1,HR
沃德发,0,HR
出唐是洁,0,HR
亡牌飞行员申请出战,0,HR
能酱酸马,0,HR
你的螂来了,1,HR
北美万税爷,0,HR
关税帝君,0,HR
愿你日薪月蚁，步步高升,0,HR
印吹斯汀,0,HR
补兑,0,HR
蒙在鼓里蘑迹了点,0,HR
真的会卸,0,HR
指日可die,0,AR
鸡不可湿,0,HR
轻鹅易举,0,HR
有背而来,0,HR
望麦止咳,0,HR
犹点意思,0,HR
谁是你滴情螂！,0,HR
晚睡！,0,HR
我不李姐,0,HR
有事宰我,0,HR
您礼帽吗,0,HR
过来给吧u找石赤,1,MR
因为集美多,0,HR
我哩个豆,0,HR
移山移山，亮晶晶,0,HR
说不上爱别揪蝉，就一点喜欢,0,HR
嫦娥为什么善变？因为她叫change,0,AR
为什么阿姨从不流汗，因为阿姨怕留下姨汗,0,HR
柿柿如意，苹苹安安,0,HR
薏仁做事薏仁当，小叮做事小叮当,0,HR
真新华，这大碗宽面也很贵,0,HR
你都如何回蚁窝，带着笑或是沉默,0,HR
耙耙柑型人格,0,HR
坐以待币,0,HR
鸡毕你,1,HR
玉米几,0,HR
好柿花生,0,HR
秃然,0,HR
夺笋啊,0,HR
有个老头从来不长头发，他得了老铁没毛病,0,HR
因为黑猫紧张,0,HR
今天发现一个岛～叫为你神魂颠倒,0,HR
莫非这就是传说中的扒拉拉能亮,0,HR
是猩猩，因为它喜欢敲咪咪,1,HR
我受够你了，你这是在丸弄人心,1,HR
你知道星星多重吗，八克因为星巴克。,0,HR
旺旺雪饼觉得热了会变成旺旺掀被。,0,HR
我对你一见粽情,0,HR
无盐以对,0,HR
锁乙呢？,0,HR
鸭力很大,0,HR
这水瓶就太高了,0,HR
好酒不见,0,HR
我有吉士先走了,0,HR
天鸡不可泄露,0,HR
大家信教吗？我是“回笼教”的，我们的主要任务是睡觉。,0,HR
我姓铁 有一只狗叫溜溜 有天下楼溜狗邻居对我说：“老铁，溜溜溜啊”,0,HR
今天去动物园，看到一头大象在吃一个小孩的奶酪，原来这就叫，象吃孩滴酪。,0,HR
鸡急分子,0,HR
泰裤辣,0,HR
开始熬叶,0,HR
真是蔬给你了,0,HR
这是学会煎墙,0,HR
愚公移山的时候喜欢唱什么歌？移山移山亮晶晶,0,HR
鳝有鳝抱，鳄有鳄抱,0,HR
祝你一鹿顺丰，福到家门,0,HR
法海永远都当不了rapper，因为他不会饶蛇,0,HR
收稻,0,HR
蒜鸟蒜鸟,0,HR
到底瓶什么？,0,HR
石上达人,0,HR
时来运砖,0,HR
有荔有bee，但荔大于bee,0,AR
知道为什么哆啦A梦没有脖子吗 因为蓝脖积泥,0,HR
知道谁最会烤肉吗？老师。因为他考的都不会教,0,HR
正世载下,0,HR
招财进堡,0,HR
深圳不怕影子斜,0,HR
四川后不可适可退,0,HR
长安识别图中二维码,0,HR
这个现象也推离谱了,0,HR
我还不信了44944,0,NR
秦始皇吃花椒，嬴麻了,0,HR
需要的宝子们灌注一下,0,HR
今天xql发糖了，好甜。,0,AR
他总是那么贴新，真让人舒服。,0,HR
520快乐，天天开心～,0,NR
新开的奶茶4真好喝，墙r推荐！,0,MR
希望ta每天都能拥有小确幸。,0,AR
雪儿不厌，学业长进,0,HR
秃然想起,0,HR
鸡羽成周,0,HR
校世我了,0,HR
这碗牛肉饭真的耗吃,0,HR
心香四橙,0,HR
88，下次见,0,NR
我想和你1314在一起,0,NR
你汁倒的太多了,0,HR
自bee中,0,AR
好事会花生,0,HR
郑在过年,0,HR
过乔米线,0,HR
记得孟见我,0,HR
扁桃体永不发言,0,HR
花生了什么事,0,HR
狗home,0,AR
已经太碗了,0,HR
你是不是吃堡了,1,HR
爱你牙,0,HR
尊嘟假嘟,0,HR
今天晚上失棉了,0,HR
独隶自主,0,HR
无畜可逃,1,HR
仙走一步了,0,HR
我一定要煎墙起来,0,HR
这件事可真有点左右为南,0,HR
能不能给我1个鸡会,0,MR
今天晚上要用巴黎鸥来哑,0,HR
family4.0,0,MR
菌子动口不动手,0,HR
木凳口袋,0,HR
对不起啊，豹一嘶,0,HR
今天的考试很兰很兰的啦,0,HR
eee，好想哭,0,AR
book思议,0,AR
鱼香rose,0,AR
蜗好累啊,0,HR
没关C,0,AR
这是蒸的吗？,0,HR
我真的莓四,0,HR
深藏blue,0,AR
star皆空,0,AR
这个小朋友人见人eye,0,AR
我今天中午要次黄焖jimmy饭,0,AR
这个汇报真的滴水blow,0,AR
想吃猕hotel,0,AR
你拔我罐罪,0,HR
现在有点脚头烂额了,0,HR
他仿佛犹如天之椒子,0,HR
好像一椰暴富,0,HR
大家都不要椒虑,0,HR
藕巴，你好帅啊,0,HR
豌安了大家,0,HR
卜是吧卜是吧,0,HR
辣好吧，就这样吧,0,HR
没有买卖就没有上海,0,HR
到点下班天津地义,0,HR
愿你今年升职嘉兴,0,HR
宁波打的电话已关机,0,HR
欢迎大家来到我的淄博间,0,HR
年轻人还是不要手蝇,0,HR
懂王在政治和金钱中选择了政钱,1,HR
我想对你说520,0,NR
外国人都知道kl是什么意思了,0,AR
我迪迦在东北,0,HR
勿q,0,AR
大兄dei你好呀,0,AR
这属于美国独有的zzzq,1,AR
我不喜欢带t,0,AR
桥豆麻袋！这是啥？,0,HR
该如何对付倚lao卖lao的人,1,AR
自high也是一种能力啊,0,AR
老哥666啊,0,NR
步行啊老弟,0,HR
你这人真是笋到家了,0,HR
大家加期鱼块,0,HR
享受吗？包你掉秤的,0,HR
莓道理的！这件事没有可争论的点,0,HR
这个就业率，看的我蕉绿,0,HR
老紫今天就是要收拾你,1,HR
深夜福莉,0,HR
这个芝士很有用。,0,HR
烹友之间要互相帮助,0,HR
考试时不要6神无主,0,NR
奴力不会白费,0,HR
保持积鸡的心态,0,HR
3克oil！你can的！,0,MR
萧何财路煎煎饺,0,HR
每天都要开薪,0,HR
3Q非常much,0,MR
2morrow的事情别拿到今天说,0,MR
哦，原来这么鸡汁,0,HR
这个创意真是心弦,0,HR
你们砖业是真的累，天天在工地,0,HR
好毒特的想法哦,0,HR
你说的好有帖新,0,HR
哦豁～原来这么smart呢,0,AR
这个解释真是38,1,NR
祝你们99呀,0,NR
他老说8行，其实根本没底气,1,NR
520我的老公,0,NR
这事儿你没4，就别多管闲事,1,NR
枣安朋有们,0,HR
基金的溜动性比同类产品更强,0,HR
滴至伍哲，省钱又实惠，快点点击购物车,0,HR
本场活动仅今怼有秀，过时不候,0,HR
库存有线，晚了就没了,0,HR
本店全系商品支持分期免煎,0,HR
报款啊！家人们，只有今年618,0,HR
我补能说啊！军工类的大学家庭好的就蒜鸟,0,HR
想充值记皮特，加安VIXI,0,AR
妹抢到JJ的演唱会，憋说了，听着就烦,0,HR
我都不想待在BJ了,0,AR
好多人在唧唧咋咋的说些美用的,0,HR
笱男人，再也不要相信了,1,AR
AI你只是因为你有钱而已,1,AR
花生了什么事,0,HR
已经太婉了,0,HR
今天晚上失棉了,0,HR
仙走一步了,0,HR
这件事可真有点左右为南,0,HR
能不能给我cancanneed,0,AR
网友想看鸡你太美,0,HR
9494，应该就这样,0,NR
有点渝心不忍,0,HR
评论区已经满屏2333,0,NR
独隶自主？我只想问：这是什么神奇的合约条款,0,HR
你是不是吃堡了,1,HR
房间装饰像狗home,1,AR
记得萌见我,0,HR
我的厨艺一定要煎墙起来,0,HR
魔性西脑,0,HR
批一下很开心,0,HR
社招变成舍保，加班不如直接躺平,0,HR
写PPT写到凌晨三点，感觉自己是品P痛,0,AR
说好的是弹性工作，结果变成弹性躲课,0,HR
面试官一句话，就把我踩4了,0,NR
现在 9业 太难了，要不是家里有矿都不敢想,0,NR
我心里都是慌空,0,HR
分分钟变公务冤大群,0,HR
裁员通知一来，我心里直接88,0,NR
5555，我真的好难过,0,NR
累成了 3X 人,0,MR
看看你的down sign,0,HR
笑死了！4S点的car fee不免费,0,AR
我们之间的gone she，是可以进一步了吗,0,AR
大海别上想吃sea guava,0,AR
fire gee让你屁股火辣辣,0,NR
又点一丝呀，你这人,0,HR
那捏了,0,HR
饭车现场,0,HR
银行大举加G4Gan,0,MR
市场份额已超过0售银行,0,MR
晚间公布的income令人满意,0,AR
留字们的成本又变高了，因为通货P胀，欧洲生活成本上涨明显,0,MR
如果风X过高，建议投资者会转向避险资产,0,AR
真腻害啊,0,HR
